headline,label,topic
Remember graphite Its the neglected battery metal with more secrets being uncovered The Outcrop by Robin Bromby,pos,Technology
Hillgrove in good shape Record production profit growth and no debt for copper miner,pos,Business
Gina moves on Riversdale Australian billionaire launches aggressive bid for Canadian coking coal hopeful,pos,Business
Rio comes clean on copper find Winu the worstkept secret in mining,pos,Exploration
Galaxy signs off on big lithium year Asset deal with POSCO the highlight,pos,Business
BHP adds three women to senior leadership BHP has revamped its executive leadership team making four new appointments,pos,Business
Copper and gold hit enthuses Xanadu and market Further assays awaited more drilling underway in Mongolias South Gobi,pos,Exploration
Australian Mines bags some working capital Nickel and cobalt contender working on financing for big ticket Sconi project,pos,Business
AVZ tops up raising to 15M Funding will take Manono lithiumtin project to FID,pos,Business
Record returns for Rio shareholders Company returning 135B,pos,Business
Rio the only major without coal or oil JS sells the companys green credentials,pos,Business
Steady profit for OZ despite growth spend OZ Minerals has posted a steady fullyear profit after a huge year of investment in growth,pos,Business
PDAC a bellwether for rising mining tide PDAC executive director says all indicators point to more positive industry sentiment,pos,Economic
Mining Briefs Cohiba Todd River and more Cohiba earns in Todd Rivers clean met work Arrow confirms shallow gold and more,pos,Exploration
QMC confirms spodumene in first holes at Irgon QMC Quantum Minerals TSXV QMC USOTC QMCQF has visually identified spodumene in the first diamond holes it has drilled into its Irgon lithium project in,pos,Exploration
Modest global gold output growth expected over next decade Australia expected to see strong production growth,pos,Operation
Vanadium a nice potential addition for Paladins future uranium production Restart feasibility study now underway at Langer Heinrich,pos,Exploration
Yancoal posts 850M profit Coal and Allied takeover provides massive boost for ChineseAustralian miners revenue,pos,Business
Primero targeting further growth First half performance puts engineering firm on track to meet guidance,pos,Business
Softer session for ASX miners Yancoal led the way with strong result,pos,Business
Black Rock granted mining licence Tanzanian graphite mine one step closer to development this year,pos,Operation
Little bit of market love for lithium Hannans Sayona the better bought juniors,pos,Economic
Anaconda initiates feasibility at Goldboro near Halifax Anaconda Mining TSX ANX USOTC ANXGF is working on a feasibility study for its Goldboro gold project in Nova Scotia 175 km northeast of Halifax,pos,Exploration
Thrasher backs KGLs copper fundraising Low profile mine contender continues to attract funding,pos,Business
More strong results out of Beta Hunt program Canadian miner reports record production in 2018,pos,Operation
OceanaGold reports maiden resource for WKP in New Zealand OceanaGold Corp TSX OGC ASX OGC has published an initial resource estimate for its highgrade discovery at WKP 10 km north of its Waihi gold,pos,Exploration
WKP yields initial highgrade gold resource for OceanaGold Atypical development may be required for future mining venture,pos,Exploration
Miners start ASX week well Trump trade truce talk encourages the bulls,pos,Economic
Base metals producers do nicely Better sentiment buoys equity investors,pos,Economic
Copper close to eightmonth high Friday was another strong session for metals capping off a positive week,pos,Economic
Ilmenite demand remains strong for Base Debtfree miner says no expected December dropoff for product aided higher profit,pos,Economic
Copulos to underwrite Crusader issue Returning director agrees to tip in 25M of 4M required for Brazilian gold hopeful,pos,Business
OceanaGold tables resource at WKP prospect in New Zealand OceanaGold TSX OGC USOTC OCANF has tabled a maiden resource at its WKP gold prospect 10 km north of its Waihi gold mine in New,pos,Exploration
Perseus records modest profit with big decade ahead Yaoure development will significantly boost cashflows,pos,Business
More yellowcake in Honeymoon boost for Boss Resource increases as derisking continues,pos,Business
Kirkland Lake Gold boosts production forecast 20192021 A jump in the reserve grade and tonnage at Fosterville in Australia  already one of the highest grade and most profitable gold mines in,pos,Operation
Titan merger and West African delisting suggest ASXs strong standing Gold stories being backed strong in Australia vs Canada,pos,Business
Nighthawk finds more highgrade gold showings in NWT Regional exploration last year on its Indin Lake gold property 200 km north of Yellowknife in the Northwest Territories turned up highgrade gold in grab,pos,Exploration
US markets post slight gain Feb 1822 Newmont Rio Tinto The Dow Jones Industrial Average rose 057 to 2603181 while the SP 500 Index increased 062 to 279267 Spot gold finished the week at US133780,pos,Economic
